,text,favourite_count,retweet_count,created_at,handle
61,Jeff Bezos seems to be reckoning with his legacy in the wake of the Amazon union drive https://t.co/fHTcrStG2E,16,5,2021-04-15 19:17:26+00:00,@recode
62,The Amazon union vote is over. Here s what happens now. https://t.co/esPFz6yls8,5,3,2021-04-10 11:00:35+00:00,@recode
63,Amazon is way ahead in the historic warehouse union vote. The battle s still not over. https://t.co/3pyjlbALCF,0,0,2021-04-09 00:14:25+00:00,@recode
64,It looks like Amazon is changing the date for Prime Day again https://t.co/BmlYOnPIPS,9,5,2021-04-08 16:26:03+00:00,@recode
65,Amazon started a Twitter war because Jeff Bezos was pissed https://t.co/Ev7opK7Ta0,919,204,2021-03-28 21:01:05+00:00,@recode
66,Amazon employees accuse the company of union-busting after it removes workers from an internal directory https://t.co/eHJTjPQeWD,7,5,2021-03-24 22:13:25+00:00,@recode
67,Amazon s $10 billion NFL deal is huge   and a sign that sports is staying on TV for a while longer https://t.co/l5aeV8snH7,4,2,2021-03-18 22:08:56+00:00,@recode
68,Amazon s next CEO defends the company against racial bias reports in an internal note but says there s  a lot of work to do  https://t.co/I9R9l2MzZY,3,3,2021-03-09 17:32:12+00:00,@recode
69,The union vote that could change Amazon forever https://t.co/LI4xZ37N0R,6,0,2021-03-03 20:01:24+00:00,@recode
70,A Black Amazon manager is suing company executives in a discrimination and sexual harassment and assault case https://t.co/xfl9G5a1Ca,1,3,2021-03-01 18:40:57+00:00,@recode
71,"Bias, disrespect, and demotions: Black employees say Amazon has a race problem https://t.co/iGJNdpfLx1",13,6,2021-02-26 17:48:10+00:00,@recode
72,"Exclusive from @delrey: Internal data and interviews with over a dozen Amazon corporate employees show Black employees face harmful racial bias at the company. It s held some of them back and, in some cases, caused them to quit. https://t.co/70IujVSESq",55,38,2021-02-26 13:30:05+00:00,@recode
73,"Bias, disrespect, and demotions: Black employees say Amazon has a race problem https://t.co/I16jb1o6VB",3,2,2021-02-26 13:02:00+00:00,@recode
74,New York is suing Amazon over pandemic labor conditions https://t.co/3UXDyHuMvL,7,2,2021-02-17 19:04:20+00:00,@recode
75,What to expect from Amazon s new CEO Andy Jassy https://t.co/gyatQfKQKJ,6,4,2021-02-03 18:21:44+00:00,@recode
76,"Andy Jassy will take over for Jeff Bezos as CEO of Amazon later this year. 

We spoke with Jassy at the 2019 Code Conference. 

Watch the full interview here: https://t.co/M5BF96ebAf",12,7,2021-02-02 23:33:24+00:00,@recode
77,Amazon s facial recognition boss wants the feds to hurry up with regulation https://t.co/hJEC1f5QPE,6,3,2021-02-02 23:18:39+00:00,@recode
78,"Jeff Bezos is stepping down as CEO of Amazon. Andy Jassy, head of Amazon Web Services, will lead the day-to-day operations of the company.
https://t.co/9k88dYzQ6O",14,8,2021-02-02 22:02:49+00:00,@recode
79,Jeff Bezos is stepping down as Amazon s CEO https://t.co/Yzs2FA5pwy,9,8,2021-02-02 21:59:29+00:00,@recode
80,Amazon will pay nearly $62 million over  outrageous  practice of pocketing driver tips https://t.co/Tx4PGxg9ow,11,5,2021-02-02 18:34:27+00:00,@recode
81,Amazon employees want right-wing militia merchandise taken down https://t.co/wSyg4Pit24,33,12,2021-01-11 20:19:13+00:00,@recode
82,"MacKenzie Scott, the Amazon billionaire, is giving away $1 billion a month to charity https://t.co/Hwy03D2SpD",36,9,2020-12-15 20:23:05+00:00,@recode
83,What one of Amazon s biggest critics thinks the future of the retail industry means for workers https://t.co/wWHwnk6tyF,2,0,2020-12-03 19:20:59+00:00,@recode
84,"Amazon starts selling prescription drugs, with two-day delivery for Prime members https://t.co/hFjUYU8X4c",9,7,2020-11-17 11:02:15+00:00,@recode
85,Amazon gets hit with antitrust charges in Europe https://t.co/ajC0SQ72j3,10,3,2020-11-10 15:34:31+00:00,@recode
86,"Amazon has created fertile ground for bribery schemes, sellers say https://t.co/PXhe3034ho",2,1,2020-10-26 18:53:22+00:00,@recode
87,A new Amazon feature should make it easier to get a grocery delivery slot this winter https://t.co/YqmEV0ictA,6,1,2020-10-08 21:15:46+00:00,@recode
88,"TODAY at 2pm ET: @DelRey will interview Stephenie Landry, Amazon's worldwide vice president of grocery! Register here to watch the conversation live: https://t.co/adrcYgK4yY https://t.co/m4lmtgLG3Y",1,1,2020-10-07 16:59:34+00:00,@recode
89,"The Big Tech antitrust report has one big conclusion: Amazon, Apple, Facebook, and Google are anti-competitive https://t.co/ET8HS8xQDM",38,13,2020-10-07 00:38:12+00:00,@recode
90,Leaked: Confidential Amazon memo reveals new software to track unions https://t.co/ko6ZCYzfAa,60,48,2020-10-06 14:01:20+00:00,@recode
91,Amazon will now let you pay with your palm in its stores https://t.co/1vTdFPUnpM,12,7,2020-09-29 07:01:18+00:00,@recode
92,Amazon employees fear HR is targeting minority and activism groups in email monitoring program https://t.co/MzBKMjdo63,4,5,2020-09-25 01:17:34+00:00,@recode
93,Amazon s surveillance cameras fly now   which is terrifying https://t.co/uADfw63vA8,15,4,2020-09-24 23:13:37+00:00,@recode
94,"Hear how Amazon's worldwide VP of grocery, Stephenie Landry, managed the sudden surge in demand for grocery delivery as the reality of coronavirus stay-at-home restrictions set in at Code Commerce@Home: https://t.co/VBiAA4OyOF https://t.co/V2Eh8g6XpG",5,0,2020-09-09 18:33:01+00:00,@recode
95,Walmart+ will finally launch in September. Can it compete with Amazon Prime? https://t.co/DhNfPvifab,4,6,2020-09-01 12:48:14+00:00,@recode
96,Walmart+ will finally launch in September. Can it compete with Amazon Prime? https://t.co/2yan3E8TW5,6,0,2020-09-01 04:03:47+00:00,@recode
