,text,favourite_count,retweet_count,created_at,handle
91,"  Backpack, backpack! Backpack, backpack!  
ALL registered teams get this awesome backpack! Trust us, it ll come in handy for this year s 2023 Tech Challenge, Survive the Storm!, presented by Amazon. https://t.co/Y1gg3BhnYp
.
.
.
#STEM #BayArea #SanJose #SanFrancisco #Oakland https://t.co/FLOnSRfzTl",1,0,2022-11-22 00:20:19+00:00,TheTechInteract
92,"Have you signed up for the 2023 Tech Challenge: Survive the Storm, presented by Amazon? If not, make sure you do so before Wednesday, Nov. 30 to receive your FREE TOOL! https://t.co/LSn7oprNlE .
.
.
.
#education #stem #engineering #sanjose #sanfrancisco #oakland #bayarea https://t.co/ultOkL0E59",1,0,2022-11-16 00:03:03+00:00,TheTechInteract
93,"Take the opportunity on November 5, to come down to the Tech Interactive for the 2023 Tech Challenge, presented by Amazon Info Clinic, Adviser Training and Team Workshop. Be sure to register at https://t.co/G7uAQqYCds .
.
.
.
#SanJose #SanFrancisco #Oakland #BayArea #STEM https://t.co/wZhTgSyqE0",2,1,2022-11-03 00:14:38+00:00,TheTechInteract
94,"It s time to get started on the 2023 Tech Challenge, Survive the Storm!, presented by Amazon. Come to our in-person Info Clinic, Adviser Training and Team Workshop on October 29. https://t.co/G7uAQqYCds .
 
#bayarea #stem #sanjose #sanfrancisco #oakland #engineering #sfbayarea https://t.co/yvwXc9TlGC",2,0,2022-10-27 20:17:30+00:00,TheTechInteract
95,"The Tech Challenge 2023, presented by Amazon, is here and in-person! We ask you, the problem solvers of tomorrow, to showcase your brilliance as you engineer a structure that can protect vulnerable objects from the wind.
https://t.co/UDyFVYDvfh https://t.co/SF9AOg4jno",0,0,2022-10-13 20:13:02+00:00,TheTechInteract
96,So proud of these Bay Area students starting college with an awesome scholarship and internship thanks to our partnership with Amazon! https://t.co/jrkUSO9F4h https://t.co/8E5xKu2f23,1,0,2022-09-30 00:24:11+00:00,TheTechInteract
97,"Break out your hardhats! The Tech Challenge, presented by Amazon, is back IN PERSON    Mark your calendars for open registration starting Wednesday, Oct. 5. We can't wait to see all of you, and your amazing solutions. 

#SanJose #BayArea #SanFrancisco #Oakland #STEM https://t.co/bbr5V3Qqjs",1,0,2022-09-01 19:07:49+00:00,TheTechInteract
98,"Today is the day! The Tech Challenge, presented by @Amazon, 2022 Awards Ceremony starts at 4 p.m. PDT   See you there! https://t.co/oanicRaMrZ",3,1,2022-05-09 16:34:30+00:00,TheTechInteract
99,"Sounding off to all of our judges, innovators, volunteers, advisors, and supporters who made this year s Tech Challenge, presented by Amazon a success! We hope you were just as amazed as we were by the ingenious solutions on display-don t miss the awards ceremony on May 9!   https://t.co/djKCw1SK42",5,0,2022-05-02 19:08:11+00:00,TheTechInteract
100,"The Tech Challenge, presented by Amazon, was honored to have participants from Puerto Rico compete! Check out Team #297 The Guaynabo Tinkers and the amazing rig they ve constructed! https://t.co/egOC559ln4",2,1,2022-05-02 00:17:16+00:00,TheTechInteract
101,"The 35th annual Tech Challenge would not be possible without some incredible supporters! Thank you to our presenting supporter @amazon, our virtual platform partner @Zoom  and our founding supporters @eBay, @Intel, @Seagate and @thermofisher. https://t.co/1rNQ2k7Ngw",7,2,2022-05-01 22:58:14+00:00,TheTechInteract
102,"It s day 2 of The Tech Challenge: Kinetic Commotion, presented by Amazon, and we re seeing so many awesome rigs already! Sunday is beginning to SOUND like a great day   https://t.co/1NVPF5Zrbj",4,1,2022-05-01 21:47:47+00:00,TheTechInteract
103,"It's Day 2 of The Tech Challenge, presented by Amazon! How are participants feeling? Nervous? Excited? Ready to unleash those melodious devices on our judges? https://t.co/NNqUvbCgcu",3,0,2022-05-01 17:13:13+00:00,TheTechInteract
104,"We asked young innovators to build a device that uses stored energy to make sounds and they sure delivered. Here's a look at day one of the final showcase for The Tech Challenge: Kinetic Commotion, presented by @amazon. https://t.co/t0Q8g2attp",7,2,2022-05-01 01:00:20+00:00,TheTechInteract
105,"The sweet sounds of students engineering!   The Tech Challenge: Kinetic Commotion, presented by Amazon is music to our ears! https://t.co/RtZXSXB43P",9,2,2022-04-30 22:21:30+00:00,TheTechInteract
106,"One cup creativity, 2 cups teamwork and a dash of gusto.   The recipe for success at The Tech Challenge, presented by Amazon! https://t.co/xreAjOBTBA",9,1,2022-04-30 20:44:00+00:00,TheTechInteract
107,"Participants have been hard at work sawing, gluing, measuring, cutting and taking over garages of all sizes since October ... now it's Showcase Weekend! Follow along as we shine a spotlight on the participants of the 35th annual Tech Challenge, presented by Amazon. https://t.co/aVWMFetAUv",9,3,2022-04-30 17:08:00+00:00,TheTechInteract
108,"         Are you ready for The Tech Challenge: Kinetic Commotion, presented by Amazon?

You can now register at https://t.co/6pc0rCkLLJ

We can't wait to hear what you will build! https://t.co/O3uUZNTe3I",6,0,2021-10-06 15:27:52+00:00,TheTechInteract
109,"TOMORROW we're launching The Tech Challenge, presented by Amazon! 

Maybe we'll pass the time in front of the ball machine... https://t.co/U7FuGiKRyi",10,3,2021-10-05 23:55:15+00:00,TheTechInteract
110,"TWO DAYS until we launch The Tech Challenge, presented by Amazon. We're reminded of what the engineer said when someone complimented her necklace: ""Thanks for the chain reaction!""",7,1,2021-10-04 14:52:02+00:00,TheTechInteract
111,"Our hard-working team is taking a break, doing a needed stretch and feeling pretty fabulous as we look forward to seeing what young people will make!

Thanks again for making this possible @amazon and @amazonlab126!! https://t.co/8iXVzqQljt",1,0,2021-03-01 23:15:31+00:00,TheTechInteract
112,"The best part? It s FREE. We are supporting, with the help of Amazon, enough supplies for 1,000 learners. https://t.co/DSnMZw4GIc",1,0,2021-03-01 23:15:29+00:00,TheTechInteract
113,How do you bring The Tech Challenge to more students? With a little help from @amazon and @amazonlab126 and the creative minds behind our educational experiences. https://t.co/hai50xj99a,7,0,2021-03-01 23:15:23+00:00,TheTechInteract
114,@amazonnews Looking forward to serving the community together!  ,1,0,2020-10-26 18:07:22+00:00,TheTechInteract
115,"We ve joined forces with @sacredheartcs for a toy drive! Bring in one, new toy and receive free admission to The Tech. 

Need some toy ideas? Check out our Amazon wishlist! https://t.co/yMj3KDtiYN https://t.co/F7X8DqaSA9",3,0,2018-12-03 23:56:27+00:00,TheTechInteract
116,An Amazon Adventure awaits you! Get your tickets today. #IMAX https://t.co/EGrwvaFoZb https://t.co/nTGe53Z3GX,0,0,2018-04-28 04:57:05+00:00,TheTechInteract
117,"""The comprehension of an entire, complex and major mechanism of science like Natural Selection is a very different thing some might say crazy, especially since we were targeting youth."" More on the #AmazonAdventure team's goal to increase science literacy: https://t.co/F6q3NS7Nxq",0,0,2018-04-18 21:11:57+00:00,TheTechInteract
118,"""Spectacular...a large-screen triumph...such a high level of writing, acting and production polish...parents and teachers rejoice!"" - Variety
See #AmazonAdventure in our #IMAX dome theater! Tix: https://t.co/EGrwvaFoZb https://t.co/Gf4rL6AT9t",0,0,2018-04-03 20:24:23+00:00,TheTechInteract
119,#AmazonAdventure tells the exciting story of Henry Bates' fascinating 11-year journey through the perilous Amazon rainforest as a young man who risks his life for science. #IMAX Tix: https://t.co/aXh0QhzSDa https://t.co/WYQWC2chgy,1,0,2018-03-09 21:20:57+00:00,TheTechInteract
120,A trip minus the mileage! Dive with sharks or take a journey to the Amazon in our dome theater this weekend. Our wraparound screen puts you in the middle of the action! https://t.co/EGrwvaFoZb https://t.co/YarGpEgAoq,2,1,2018-01-12 18:38:04+00:00,TheTechInteract
121,Be inspired by #AmazonAdventure in #IMAX! For showtimes &amp; tickets: https://t.co/aXh0QhzSDa https://t.co/MD0SkfsM2v,0,0,2017-12-21 02:18:07+00:00,TheTechInteract
122,"FREE for members on Member Movie Mondays: #AmazonAdventure s  breathtaking visuals"" - @Variety https://t.co/aXh0QhiheA https://t.co/FkW0Fpx4og",0,0,2017-08-11 22:50:04+00:00,TheTechInteract
123,Members! Go on an #AmazonAdventure w/ Henry Bates &amp; learn how he ID d 8k new species. See it on a Monday for FREE: https://t.co/aXh0QhiheA https://t.co/6iQYRrg89g,2,0,2017-06-21 23:30:03+00:00,TheTechInteract
124,"We're all looking at the world from a different perspective this year. Explore our beautiful planet in #VR, starting with the Amazon Rainforest, and see the world like never before. Happy #EarthDay2020    https://t.co/cQA1Hbs2na

#viveport #htcvive https://t.co/NhCrJhOAqE",50,13,2020-04-22 18:34:41+00:00,htc
125,We were able to snag a tour of the Amazon Alexa Smart Life Roadshow trailer from @askdes at @TMobile. This tech + the all-new #HTCU11life is looking  . https://t.co/H02u7USPYI,109,12,2017-11-19 23:00:22+00:00,htc
