,text,favourite_count,retweet_count,created_at,handle
38,"For nearly 40 years, Microsoft Flight Simulator has been one of our most beloved franchises, and it s now available for the first time on Xbox Series X and S using the power of Azure, Bing Maps, and Xbox Game Pass. https://t.co/E8ua2NPt0z",5422,575,2021-07-27 16:24:17+00:00,@satyanadella
39,"@MrAhmadAwais @Microsoft Thanks, Ahmad. Your contributions to the GitHub community prove that each of us can contribute individually to create something much bigger than ourselves.",497,21,2021-07-16 22:18:52+00:00,@satyanadella
40,Expanding partner opportunity with the Microsoft Cloud https://t.co/3KciayDcBq,531,91,2021-07-14 21:56:20+00:00,@satyanadella
41,"There is no going back to the digital adoption levels of two years ago. There is only going forward, and the Microsoft Cloud is the most trusted and comprehensive cloud to help our partners deliver on this unprecedented opportunity. https://t.co/Md61DzsOJ9",1089,174,2021-07-14 19:39:15+00:00,@satyanadella
42,"Our focus is on being the best partner for our partners, and at #MSInspire we are announcing new capabilities across the Microsoft Cloud that unlock lasting opportunity to help our mutual customers transform. https://t.co/b1WHk8LI7q",690,147,2021-07-14 16:17:40+00:00,@satyanadella
43,Our strategic partnership brings together the power of Azure and Microsoft 365 with NEC s services and infrastructure expertise to help public and private sector customers build resilience and transform. https://t.co/NnKTOs9O6B,500,78,2021-07-13 15:02:05+00:00,@satyanadella
44,"From Teams Rooms and meeting recaps to Fluid components, here's a look at new Teams and Microsoft 365 features designed to help you adapt to the new operating model of hybrid work   spanning people, places, and processes. https://t.co/qAGxbIfqxR",712,91,2021-06-17 16:48:00+00:00,@satyanadella
45,"Hybrid work is the biggest shift to the way we work in a generation. Today, we re announcing new features in Teams and Microsoft 365 designed to level the playing field for all employees, no matter where they re working from   remote or at the office. https://t.co/rZTHXr8SK0",1075,243,2021-06-17 13:04:29+00:00,@satyanadella
46,"Thank you @ajohnsocyber and @LiatBenZur for sharing how your personal experiences have shaped how you approach inclusion as leaders at Microsoft, and how we can all practice allyship for LGBTQI+ communities. https://t.co/l7BWIRfMtj",298,34,2021-06-14 19:49:21+00:00,@satyanadella
47,"Microsoft is all-in on games. In our 20th year of Xbox, I m in awe of what creators around the world are bringing to our platform. https://t.co/m3oRFVDGS8",7172,878,2021-06-13 19:45:52+00:00,@satyanadella
48,Happy Pride 2021! I m proud to share these stories of Microsoft employees who remind us that together we can drive meaningful change for the LGBTQI+ community and create a more inclusive world for everyone. https://t.co/o8vPZPbfHq,902,147,2021-06-01 16:36:17+00:00,@satyanadella
49,"Everything becomes more complex, not less complex in hybrid work. As Microsoft moves to hybrid, we re sharing what we re learning at scale from around the world to help customers make the shift. https://t.co/VE6Ku9uDKb",1831,316,2021-05-21 13:03:00+00:00,@satyanadella
50,We re introducing new personal features in Microsoft Teams to help people connect and collaborate in one place with family and friends. https://t.co/uZNoQOnFKw,1176,167,2021-05-17 18:42:37+00:00,@satyanadella
51,"Today, we are announcing the EU Data Boundary for the Microsoft cloud. Commercial and public sector customers in the EU will be able to use our core cloud services while their data remains inside the EU. https://t.co/JpT8825uP6",896,179,2021-05-06 15:17:37+00:00,@satyanadella
52,"I am heartbroken by the current situation in India. I m grateful the U.S. government is mobilizing to help. Microsoft will continue to use its voice, resources, and technology to aid relief efforts, and support the purchase of critical oxygen concentration devices.",58305,8552,2021-04-26 02:02:17+00:00,@satyanadella
53,"This is an important issue for our country and for Microsoft. We will always advocate that every individual can exercise their right to vote legally, safely, and securely. https://t.co/8BBBJu1QRn",809,95,2021-03-31 21:30:39+00:00,@satyanadella
54,"Introducing Microsoft Mesh, which enables people to interact holographically with others, with true presence and in a natural way. I can t wait to see the world we create together with this new platform. https://t.co/WsUuOlzruB",1902,492,2021-03-02 22:11:39+00:00,@satyanadella
55,"Announcing exciting updates to Microsoft Teams, ensuring people can collaborate inside and outside the organization, learn in the context of their work, and retain and build social capital. Be sure to watch @jared_spataro s #MSIgnite keynote to learn more: https://t.co/VS6JaGYHLj https://t.co/LLfBTiwqOc",1025,249,2021-03-02 17:31:32+00:00,@satyanadella
56,"Announcing new Microsoft Clouds for financial services, manufacturing, and nonprofits   as we expand our investments to help organizations in every industry improve time to value, increase agility, and lower costs. https://t.co/pMKI3Q1MUk",669,213,2021-02-24 14:09:51+00:00,@satyanadella
57,"Announcing Microsoft Viva, a new employee experience platform bringing together everything an employee needs to be successful from day one   no matter when, where, or how they work. https://t.co/WzRIJShlGP",1738,354,2021-02-04 16:25:08+00:00,@satyanadella
58,"It s great to see our teams coming together to help spread joy and build community with the new Starbucks app in Microsoft Teams, @Kevin_Johnson. https://t.co/UqZZNTuWRC",641,72,2020-12-16 17:06:15+00:00,@satyanadella
59,"As part of our journey to build a more inclusive culture, all of us at Microsoft are learning to be better allies, so we can establish shared language and understanding   and grow together. https://t.co/1KixKqV5TY",350,34,2020-12-15 19:15:11+00:00,@satyanadella
60,"Expanding our partnership with @DeutscheTelekom, bringing together their telco expertise with our cloud capabilities to help organizations use Azure and Microsoft 365 to accelerate their digital transformation. https://t.co/OqjaL6cGAV",512,69,2020-12-10 07:25:05+00:00,@satyanadella
61,"Education in 2020 has been incredibly challenging, and that s why I m inspired by the many students who virtually crossed the globe to connect, share traditions, and learn as part of Microsoft Global Learning Connection. https://t.co/UoxTN7HDTO",625,112,2020-11-16 21:47:11+00:00,@satyanadella
62,"Microsoft Cloud for Healthcare is now available. It brings together capabilities from across our full tech stack to help enhance patient engagement, empower health team collaboration, and improve data insights. https://t.co/UgmqtpHAZf",982,172,2020-10-28 20:46:13+00:00,@satyanadella
63,"@itsmfonline @Microsoft Thank you, @mbuckhamwhite and team, for inviting me   and for the partnership with this important community.",10,2,2020-10-02 21:10:15+00:00,@satyanadella
64,"We re adding new wellbeing features to Microsoft Teams, including integrations with apps like Headspace. Here s my conversation with Headspace co-founder @AndyPuddicombe on why it s important to practice mindfulness in the flow of work. https://t.co/f2dRRadStt",858,157,2020-09-28 21:24:17+00:00,@satyanadella
65,"Bill Gates Sr. is an important part of the Microsoft story; he helped shape our culture, played a vital role in our community, and influenced our philanthropic programs. We send our condolences to the Gates family and gratitude for Bill Sr.'s enduring legacy. https://t.co/Qu6FcumNa8",4158,382,2020-09-15 22:34:42+00:00,@satyanadella
66,Thank you to all of the Microsoft employees who are contributing their expertise to help us navigate COVID-19 as a company and support our customers on the frontlines of this crisis. https://t.co/1UKaKQ00Rd,1298,193,2020-08-24 19:05:46+00:00,@satyanadella
67,Microsoft Flight Simulator brings together the power of our technology   from Azure and Bing Maps to Xbox Game Pass   so you can visit the places you love and dream of exploring   no actual travel required. https://t.co/hydqaMWUDg,6120,923,2020-08-18 15:13:58+00:00,@satyanadella
68,"With Surface Duo, we re unlocking the power of two screens and bringing together the best of Microsoft 365 and Android to help people be more productive in a multi-sense, multi-device world. https://t.co/Jh5Cmb76zU",1636,249,2020-08-12 13:10:33+00:00,@satyanadella
69,"We re celebrating the contributions of the Indigenous community at Microsoft with the launch of our newest employee resource group, which will foster awareness of Indigenous cultures and help us shape more inclusive technologies. https://t.co/L8HMOenoLz",642,66,2020-08-10 22:19:28+00:00,@satyanadella
70,Excited to partner with the @NBA to reimagine the game experience with Microsoft Teams Together mode. So fans can feel like they re together from the safety of their homes and players experience the energy of cheering fans in the arena. https://t.co/nIKmRXlasl,1150,265,2020-07-24 20:27:57+00:00,@satyanadella
71,"Congratulations to each of our Microsoft Partner of the Year Award winners, finalists and nominees! Thank you for your ingenuity and commitment to empower our customers and have impact in your communities. https://t.co/cQDqZ9LsTl",1237,118,2020-07-13 20:12:01+00:00,@satyanadella
72,"Today, the Supreme Court issued an important decision for the country and for Dreamers everywhere, including many who work at Microsoft. We know how critical their contributions are to our company and nation, and we will keep fighting for a permanent solution. https://t.co/w6LrBQLMXv",1506,226,2020-06-18 18:29:11+00:00,@satyanadella
73,What a powerful story of a Microsoft colleague who connected her personal experience with her work and used the company as a platform to make a difference. https://t.co/sSL1o3U6as,673,113,2020-05-04 23:57:16+00:00,@satyanadella
74,"We re partnering with @CocaColaCo, which will apply the power of Azure, Dynamics 365 and Microsoft 365 to transform employee and customer engagement. https://t.co/x8bAzjaCoF",1050,221,2020-04-27 15:53:55+00:00,@satyanadella
75,Health care organizations around the world are using the Microsoft Healthcare Bot service to help address COVID-19 and alleviate some of the pressure on healthcare systems and workers. https://t.co/PTOjTYnhGM,1004,220,2020-04-08 17:27:33+00:00,@satyanadella
76,"This week, we announced new capabilities in Microsoft Teams to make it easier for teams to communicate and collaborate and make meetings more inclusive. Take a look. https://t.co/Q3xOeLPcwE",1464,410,2020-03-20 15:38:26+00:00,@satyanadella
77,@ocsdltfco @justinchando @AnthonySalcito @MicrosoftTeams Thank you @ocsdltfco and @MissMurdocksLab for your dedication to your students   and for sharing your experience so that others can learn from you.,55,2,2020-03-19 21:12:09+00:00,@satyanadella
78,"The daily workflow of all of our jobs is changing fast, with many working remotely   often for the first time. Here are some of the learnings we ve had at Microsoft over the past weeks. https://t.co/vvm5d8Og7k",816,333,2020-03-19 00:36:47+00:00,@satyanadella
79,"We re expanding our partnership with @Telefonica to deliver our cloud services   spanning Azure, Microsoft 365 and Dynamics 365   from new datacenters in Spain, helping customers accelerate their digital transformations. https://t.co/exMMM8wBc4",714,215,2020-02-25 15:36:50+00:00,@satyanadella
80,"Thank you, Sarah, for sharing this powerful personal reflection. I m grateful to work with Microsoft leaders whose stories and histories help us learn and build a more inclusive culture   both during Black History Month and throughout the year. https://t.co/ryH6O4l5i9",420,60,2020-02-11 20:57:14+00:00,@satyanadella
81,"Congratulations, @SteveGleason on such a well-deserved honor. Your unwavering passion, advocacy and work to ensure technology makes a difference in the lives of those with ALS is an inspiration to all of us at Microsoft. https://t.co/FBxWIelxZ7",602,104,2020-01-16 23:42:49+00:00,@satyanadella
82,"Today, we recognize the service and sacrifice of our nation's heroes. At Microsoft, we're committed to supporting the veteran community and are fortunate to count so many veterans as colleagues. Happy Veterans Day! https://t.co/k7JVe3ckYC",465,73,2019-11-11 22:00:29+00:00,@satyanadella
83,"Across our platforms, we are innovating to help our customers build tech intensity   adding powerful new capabilities and tools in Azure, Security, Power Platform, Dynamics 365 and Microsoft 365. https://t.co/dpNEL70jFN",952,272,2019-11-04 16:32:13+00:00,@satyanadella
84,"Improving health outcomes while reducing costs is one of our biggest challenges   and together with @Humana we re working to address it, applying the power of Azure AI and Microsoft 365 to build new solutions to help people manage their health. https://t.co/eAQI7Jkzae",333,89,2019-10-21 23:05:46+00:00,@satyanadella
85,"Together with @Novartis, we will apply the power of Azure and Microsoft AI to some of the biggest challenges facing the life sciences industry today. https://t.co/AKjlDFNAHa",808,235,2019-10-01 14:11:35+00:00,@satyanadella
86,"Here s a look at some everyday examples of how we are infusing AI across Microsoft 365   from image-to-data conversion in Excel and presenter coaching in PowerPoint to inclusive whiteboards in Teams, which we just introduced today. https://t.co/pMle5Gcmyx",1128,319,2019-08-15 17:50:14+00:00,@satyanadella
87,"Together with @ATT, we will apply the power of Azure and Microsoft 365 to transform the way AT&amp;T s workforce collaborates and to shape the future of media and communications for people everywhere. https://t.co/vxSBaeH9Hy",842,211,2019-07-17 13:15:50+00:00,@satyanadella
88,This Pride month we're celebrating how Microsoft employees around the world are advancing inclusion   and are making it easier than ever for our customers to share their Pride too. #MicrosoftPride https://t.co/VpV9T5Q2V2,618,146,2019-05-31 20:06:46+00:00,@satyanadella
89,Our new Microsoft Africa Development Center will be at the forefront of building innovative solutions that benefit Africa   and the entire world. https://t.co/DlIrdkfMaF,2568,717,2019-05-14 18:17:55+00:00,@satyanadella
90,"Fantastic to have @melindagates back on the Microsoft campus today to talk about her new book, #MomentofLift. It was a powerful and timely conversation about the importance of lifting up women to lift up all of humanity. It was inspiring to hear her stories and insights. https://t.co/qsDzyAwNC8",1089,156,2019-05-10 01:29:35+00:00,@satyanadella
91,"Great to be at Dell Tech World with @MichaelDell and @PGelsinger, building on our commitment to being open and flexible to meet customers  needs, ensuring they can take advantage of the Microsoft cloud using the technologies they already have. https://t.co/jR2A7F5cKT",913,315,2019-04-29 18:51:52+00:00,@satyanadella
92,"Today we re welcoming Express Logic to Microsoft, furthering our goal to simplify IoT   from the cloud to the smallest MCU-based devices. https://t.co/fI5ScEcVKa",952,250,2019-04-18 21:02:11+00:00,@satyanadella
93,"@jeffraikes @Microsoft @UNLincoln @RaikesSchool Thanks, Jeff. Looking forward to visiting @UNLincoln and @RaikesSchool and meeting with students and faculty.",45,6,2019-04-17 21:55:09+00:00,@satyanadella
94,"I enjoyed talking to @Adobe CEO Shantanu Narayen about how the Open Data Initiative with Adobe, SAP and Microsoft is enabling organizations to unlock the power of their data, as well as his views on the future of the creative industry. https://t.co/dQIADmwxYD",746,137,2019-04-11 15:21:18+00:00,@satyanadella
95,"Today we introduced new capabilities to make collaboration more inclusive and intelligent, while delivering new levels of security and compliance, for the more than 500,000 organizations using Microsoft Teams. https://t.co/084Bnj9KM8",863,298,2019-03-19 17:28:08+00:00,@satyanadella
96,"Hate and violence have no place in our society. We mourn all the victims of the horrific attack in New Zealand including Atta Elayyan and Syed Jahandad Ali, who were part of our Microsoft MVP and partner communities. Our hearts are with the victims  families and loved ones.",8817,1853,2019-03-17 01:51:42+00:00,@satyanadella
97,"Announcing Microsoft Game Stack, a new initiative bringing together tools and services   from Azure and App Center to PlayFab and Xbox Live   so developers can create, operate and scale the cloud-first games of the future. https://t.co/MQupSifxFe",1669,571,2019-03-14 17:21:30+00:00,@satyanadella
98,Fantastic to see @PlutonForEver on 60 Minutes last night discussing the importance of STEM education for girls. Bonnie's advocacy and work to close the gender gap in our industry is an inspiration to all of us at Microsoft. https://t.co/YqIlcbpnps,289,50,2019-03-04 22:18:33+00:00,@satyanadella
99,"During #BlackHistoryMonth, colleagues across Microsoft are sharing how ""one small act"" helped define who they are today. I was moved by their stories, a powerful reminder of the enormous difference that a mentor, teacher or friend can have in our lives. https://t.co/oVvZKjGEv4",295,55,2019-02-22 19:26:44+00:00,@satyanadella
100,"As we celebrate #BlackHistoryMonth, we also recognize the 30th anniversary of our Blacks at Microsoft community. As @ToniTWhitley shares, our employee resource groups are essential in fostering a diverse &amp; inclusive culture where everyone is welcomed &amp; valued https://t.co/7yzGBQduvo",279,56,2019-02-14 22:37:01+00:00,@satyanadella
101,"Microsoft has always been a partner-led company, and we are committed to creating more opportunity for our partners across our businesses. https://t.co/kV8WPNEOAj",1009,266,2019-02-05 23:50:27+00:00,@satyanadella
102,"Today we are welcoming Citus Data to Microsoft, building on our commitments to make Azure the most comprehensive cloud to run open source and proprietary workloads   at any scale   and to accelerate developer freedom, innovation and openness. https://t.co/g4yYq07Z8Z",1120,283,2019-01-24 23:26:21+00:00,@satyanadella
103,Across Microsoft   from Teams and Flipgrid to Surface and Mixed Reality   we are working to empower every student and every educator with tools that will amplify their creativity and ingenuity https://t.co/QCy9pUyTnr,827,213,2019-01-22 23:38:46+00:00,@satyanadella
104,"The Puget Sound is Microsoft s home and we believe everyone who works here   our employees &amp; partners and all those who serve our community: teachers, small business owners &amp; first responders   should be able to live here. And we are committed to doing our part. https://t.co/oQnkhEtsr2",3068,607,2019-01-17 05:04:56+00:00,@satyanadella
105,"Together with Walgreens Boots Alliance we aim to put people at the center of their health &amp; wellness, combining the power of Azure cloud and AI technology and Microsoft 365 with Walgreens Boots Alliance s deep industry expertise https://t.co/iOHQPdZdi9",993,187,2019-01-15 18:54:43+00:00,@satyanadella
106,Introducing new capabilities in Microsoft Teams to empower the more than 2 billion firstline workers around the world to do their best work https://t.co/tbISHOHp3y,692,169,2019-01-10 23:28:56+00:00,@satyanadella
107,Learn how the Microsoft Soundscape app enables anyone   including people who are blind or with low vision   to hear the physical world around them. https://t.co/N2WQxQ0Olt,594,198,2018-10-29 18:44:04+00:00,@satyanadella
108,"I m thrilled to welcome GitHub to Microsoft. Together, we will continue to advance GitHub as a platform loved by developers and trusted by organizations. https://t.co/gAHyunO4Ko",4058,952,2018-10-26 14:00:42+00:00,@satyanadella
109,"We re inspired to see how Microsoft 365 Learning Tools is empowering people with dyslexia, and today we signed the Made by Dyslexia pledge to broaden our impact. https://t.co/eqWHXZ0oNj",673,159,2018-10-15 22:00:49+00:00,@satyanadella
110,"Paul, All of us at Microsoft are standing with you and are here to lend you strength in all the days ahead. https://t.co/xWnQE09uDW",1513,137,2018-10-01 22:44:40+00:00,@satyanadella
111,Announcing new AI and mixed reality business apps for Microsoft Dynamics 365 https://t.co/lUDsOU9NyR,779,277,2018-09-19 00:00:34+00:00,@satyanadella
112,BMW is transforming how people interact with their cars with Microsoft Azure and AI https://t.co/cyqMyO6r9y,1757,585,2018-09-06 23:33:01+00:00,@satyanadella
113,"Banneker High School students Mikayla Sharrieff, Bria Snell and India Skinner are well on their way to changing the world and inspiring many others to do the same. Thanks for visiting us at Microsoft! https://t.co/QkPvPbSQnl https://t.co/CsHjEcLty2",723,79,2018-07-30 23:37:02+00:00,@satyanadella
114,"@amcauce Well said, @amcauce Thank you for joining us at Microsoft to share your views and experiences in this important conversation.",39,3,2018-07-27 23:54:13+00:00,@satyanadella
115,"@ArlanWasHere @Microsoft @6Gems @amcauce @TinaBrownLM @darrenwalker @Backstage_Cap Thanks for visiting us at Microsoft, @ArlanWasHere and contributing to such an important conversation on inclusion.",157,10,2018-07-27 23:43:22+00:00,@satyanadella
116,"We want to ensure capital is available more broadly in society, and that must include more women entrepreneurs. Today we announced a global competition as part of our Microsoft venture fund to invest in women-led start-ups. https://t.co/xFT8J4DgMj",987,283,2018-07-26 15:30:47+00:00,@satyanadella
117,"@ChloeKim @Microsoft Thanks for joining us at Imagine Cup today, @ChloeKim - your story and lessons learned on and off the mountain are truly inspiring!",113,6,2018-07-26 04:41:38+00:00,@satyanadella
118,"Announcing new updates to Microsoft Teams
https://t.co/msCG71HnXC",1600,571,2018-07-12 18:17:57+00:00,@satyanadella
119,"Announcing Microsoft Healthcare, a new initiative with a visionary team, as we work to harness the power of health data to improve lives around the world. https://t.co/c191KjT6X3",1413,399,2018-06-27 00:30:21+00:00,@satyanadella
120,Combining the power of Microsoft Azure with InMobi s marketing platforms to deliver new intelligent customer experiences and business insights to organizations around the world. https://t.co/1TjR0OJhJM,422,105,2018-06-26 18:13:13+00:00,@satyanadella
121,Thrilled to welcome @Flipgrid to Microsoft! https://t.co/qdQH5LYkQM,1016,270,2018-06-18 14:53:09+00:00,@satyanadella
122,Microsoft + GitHub = Empowering Developers https://t.co/KqLacgODdk,10064,4203,2018-06-04 13:01:32+00:00,@satyanadella
123,"Mikayla, India and Bria, I m inspired by you and the ingenuity of your project. We d love to welcome you to Microsoft to join our annual Hackathon in July. https://t.co/FPiXZXM6K9",681,148,2018-05-03 20:48:25+00:00,@satyanadella
124,"On behalf of all of Microsoft, our hearts are with everyone at YouTube and Google today and all those affected. https://t.co/dijMxGXGpD",2660,447,2018-04-04 00:29:59+00:00,@satyanadella
125,"@tmyerson @Microsoft @BillGates @Steven_Ballmer Terry, I ve had deep admiration and respect for you and your work since our early days on Site Server. Thank you for all you ve done for Microsoft and the Windows ecosystem.",450,27,2018-03-29 19:55:07+00:00,@satyanadella
126,We re excited to see how customers like General Motors are making Microsoft Teams their hub for teamwork and today we re sharing what s next for the product. https://t.co/cmT4ujxwqJ,684,192,2018-03-12 21:50:59+00:00,@satyanadella
127,We can learn so much from others  stories. Powerful set of videos from Microsoft employees who are recognizing Black History Month by sharing the story behind an object of significance to their family history and how it s influenced who they are today https://t.co/i9jfWODUa9,765,163,2018-02-21 01:34:44+00:00,@satyanadella
128,"Jameela Roland s story is inspiring and shows the value investment in training programs can have in helping people prepare for new career &amp; employment opportunities. We re lucky to have you at Microsoft, Jameela! https://t.co/6gvIUipFlr",279,72,2018-01-31 01:48:00+00:00,@satyanadella
129,"Yesterday marked the opening of the Microsoft Software &amp; Systems Academy at Quantico, to help equip transitioning military service members and veterans with technical training and skills to pursue careers in technology https://t.co/l4Qs3Sfj95",1164,350,2018-01-10 01:27:47+00:00,@satyanadella
130,@billmcraven @Microsoft @UTAustin @BobMetcalfe Thanks very much @billmcraven - an honor to meet you and spend time at @UTAustin,14,1,2017-11-14 17:33:23+00:00,@satyanadella
